nombreRestaurante,valoracion,etiquetas
Proverbium,"9,0", pasta pizza tiramisu trufa atun
El Bury/parrilla,"8,8", carne tarta albondigas queso croquetas
Juan Blanco,"8,8", arroz croquetas rabo atun bonito
Restaurante Trattoria Piccolo Mio,"8,7", pasta risotto tiramisu ensalada queso
Restaurante Alilian,"8,6", oreja tarta carne salmon bacalao
Fisterra,"8,5", tortilla pulpo tarta tapas alcachofas
El buey boadilla,"8,4", carne buey ensalada tarta lomo
India Gate,"8,4", picante pollo arroz curry cordero
The Burguer Lobby,"8,4", hamburguesa carne cebolla tarta patatas
Meson Jamonero Canete,"8,3", jamon torreznos embutidos quesos tapas
Mar y Montaña,"8,2", picante arroz pollo croquetas
La Lonja de Boadilla SL.,"8,2", pescado marisco carne gambas pulpo
Ginos - Boadilla,"8,2", pizza pasta ensalada
La Ilustracion Gastrobar,"8,2", cocido tarta tapas arroz
 La Burguesita ,"8,2", hamburguesa patatas carne tarta buey
